county_fips,reporting_year,tri_facility_id
17113,2022,6170WPRRMT917EA
17043,2022,60521NNPHS453CO
17197,2022,6042WNDRSN255EA
17031,2022,60007PRFCT775MO
17031,2022,60162CNDZN4161B
17073,2022,61434DXLNC26SW4
17043,2022,60101BTZLB333SO
17121,2022,62801SWNCROLDRT
17031,2022,60007CHMPL1990E
17055,2022,62896CRWNL11884
17031,2022,60007PNDST1250M
17031,2022,6000WCHMPL18TUH
17031,2022,60007PMSCN2400E
17141,2022,61049SWNSNLINDE
17031,2022,60419CLMTB14610
17095,2022,61401NTNLCRTE15
17163,2022,62269LNDSN610ES
17161,2022,61256MCKYS4075T
17201,2022,61102DLPHN892SO
17163,2022,62222SCTTR701HA
17079,2022,62448MRNCR6725N
17031,2022,6063WHNKLT65W51
17113,2022,61702BRDGSVETER
17201,2022,61125RCKNL53091
17111,2022,60012MTHWS500IN
17119,2022,62249BLNSY509WE
17041,2022,61911CLSSC520E2
17031,2022,60007BLRMN2201L
17111,2022,60014JHNCR2931B
17031,2022,60632GLDGL4400S
17113,2022,61701CRGLL115SE
17031,2022,60131SLNVL10500
17041,2022,61911CHVRH1485S
17043,2022,6051WRXNRD24CUR
17005,2022,6224WFCGRN1USHW
17031,2022,60618CNTRY2939N
17201,2022,61115PRKRH1711N
17089,2022,60542RRPMP800AI
17091,2022,60901DYTNS2150B
17043,2022,6010WDPGMC311LN
17107,2022,62634LKHRTELKHA
17043,2022,60007SPCLT25002
17031,2022,60651CHRMM4645W
17031,2022,60090WLNDM567NO
17031,2022,60429PRRMT122W1
17197,2022,60487TLSPT8351W
17183,2022,61834LLDSGNO5BR
17131,2022,6123WMMFXX82SE1
17197,2022,6040WVCNPR19515
17197,2022,60441PRRMT149JL
17043,2022,60191GMDCS789NC
17029,2022,61920THCLT1255N
17197,2022,60434MCCHM12MIL
17031,2022,6052WVPKNC5321D
17197,2022,60436PLLCL1550M
17115,2022,6252WVCNPR8EAST
17179,2022,6155WVCNPR775WB
17019,2022,6182WVCNPR328WS
17121,2022,62881RDCBR1015S
17031,2022,60639TMTCS4940W
17031,2022,60007XCLLL2425A
17031,2022,6013WPLTNG11142
17043,2022,6019WNVTRN6WHEB
17177,2022,61048DKNSN4350W
17031,2022,60648STMSN7542N
17163,2022,62206MNSNT500MO
17097,2022,60073BSCLC1741C
17163,2022,62206FLXSY500MO
17031,2022,60455GLDNG7700W
17105,2022,61764RRDNN1600N
17179,2022,61554NCRNC13082
17031,2022,60638WLLMS5241W
17161,2022,61244TLSNR3110M
17091,2022,60914BRMNGRR1BO
17031,2022,60618HFRDY3232N
17031,2022,6050WWLLMS7425W
17031,2022,60076FLPRN7450N
17031,2022,60090TBNSS600DI
17049,2022,6240WDMNML12MCG
17031,2022,60650CHCGX1601S
17043,2022,60101NDRND136CO
17143,2022,61547GLDSC8300W
17089,2022,60504LCTTC969CO
17099,2022,6134WNDPND121EB
17161,2022,61265JHNDR5013R
17031,2022,60609SFTYK1445W
17201,2022,61104JLCLR2300S
17163,2022,62206CCDNT500MO
17167,2022,62707CTYWT3100S
17189,2022,62263LGMCR18355
17019,2022,61802PLNGN2401N
17197,2022,60466MCNTY1000G
17031,2022,60419SFTYK633E1
17031,2022,60411FRDMT1000E
17031,2022,60633FRDMT12600
17197,2022,60410MBLCHI55AR
17143,2022,61641MSDVT71SWA
17091,2022,6090WCMCST775EA
17031,2022,60525NYCPR5332D
17031,2022,60076RSNDN7557S
17199,2022,62959SNLGH19RED
17097,2022,60060CRTRH1551M
17031,2022,60160NCHRP2755W
17201,2022,61104THTST615BU
17089,2022,60506MTLRT1001W
17043,2022,60139HDPCK550MI
17047,2022,6280WCHMPN2SUTH
17047,2022,6280WCHMPN31IND
17019,2022,61821KRFTN1701W
17031,2022,60647RLNDS181NC
17043,2022,60126LPHCR730OA
17099,2022,61354KSCRP6251R
17179,2022,61554XCLLFRR3BO
17031,2022,60411LLBRT400ST
17043,2022,60185SSVKT475IN
17197,2022,60410CLMNC23247
17043,2022,6018WSMPSN255EN
17111,2022,60098RNTZN14600
17187,2022,61462MRHPCNORTH
17201,2022,61101RNTZN1025S
17163,2022,62201TRDWS7MOBI
17089,2022,60510WHTTK1500L
17031,2022,60617CRGLL12201
17031,2022,60650MBLCC3801S
17043,2022,60106LBRFN630EG
17097,2022,60069ZLLWG405BA
17141,2022,61068LLNSR19STE
17085,2022,61085KRFTN300WR
17031,2022,60411STNDR10THW
17155,2022,61327XLNCXRRIBO
17043,2022,6050WMGNTR75ENT
17161,2022,61244JHNDR11001
17031,2022,6013WTHLNC769IN
17031,2022,60411BCNCN2705S
17115,2022,62525CTRPL27THP
17043,2022,60101RLLPR320ST
17073,2022,61443HYSTR2000K
17097,2022,60069NCHLS2SCHE
17031,2022,60120SFTYK1500E
17197,2022,60436LRWYR21233
17019,2022,61801SFTYK500WA
17123,2022,61537THGNCRURAL
17099,2022,61364WNSLL901NS
17189,2022,6225WPRRST1739N
17031,2022,60638THCPH5851W
17073,2022,6143WBGRVR11SE2
17031,2022,60619VRSNC1355E
