GEOID,RPL_EBM
17031070103,0.7181
17031071100,0.8591
17031110501,0.8699
17031120200,0.8366
17031120400,0.9377
17031140800,0.7268
17031160700,0.8503
17031161300,0.9492
17031190601,0.6313
17031210700,0.8822
17031220601,0.8456
17031230200,0.8344
17031230400,0.8685
17031242700,0.6911
17031250600,0.8645
17031250700,0.9037
17031260600,0.9701
17031300500,0.9073
17031310900,0.9374
17031320600,0.8705
17031350100,0.8772
17031420500,0.8137
17031670300,0.8398
17031670500,0.8408
17031691500,0.7494
17031700301,0.8524
17031710300,0.8406
17001000400,0.6062
17001000500,0.5526
17001010200,0.2646
17001010301,0.0945
17001010302,0.4113
17011964700,0.4412
17011964800,0.4418
17011965400,0.2749
17019001400,0.2392
17001000600,0.3876
17001001002,0.1152
17003957700,0.1365
17005951300,0.7096
17007010200,0.8995
17007010501,0.2348
17007010603,0.4089
17019001203,0.0268
17019010902,0.4869
17025972200,0.4524
17027900200,0.1692
17029000900,0.0782
17031801500,0.8102
17031801603,0.7374
17031802300,0.5047
17031802402,0.7301
17031804102,0.3205
17031804106,0.5422
17031804611,0.1956
17031805002,0.6625
17031805106,0.4023
17031806103,0.9297
17031806104,0.8536
17031808302,0.956
17031808500,0.8288
17031811000,0.6934
17031812200,0.6501
17031813200,0.6282
17031814400,0.8624
17031815100,0.7528
17031815800,0.858
17031818000,0.9379
17031610400,0.9637
17031630400,0.965
17031630500,0.9645
17031640400,0.9166
17031640600,0.9678
17031640800,0.8368
17031670600,0.7881
17031700502,0.7161
17031710200,0.8625
17031710600,0.8788
17031770201,0.7472
17031770800,0.9216
17031804305,0.2594
17031804405,0.4697
17031804512,0.6028
17031806501,0.9472
17031807200,0.7517
17031808900,0.6678
17031809700,0.7341
17031810000,0.5254
