# Normalized state race totals, 1790-1990 — parse target for censusStateDecades.
#
# SOURCE (public domain, 17 U.S.C. §105):
#   U.S. Census Bureau, Population Division Working Paper No. 56 (twps0056),
#   Gibson & Jung (2002), Tables 15–65 (one sheet per state / D.C.).
#   Landing page: https://www.census.gov/library/working-papers/2002/demo/POP-twps0056.html
#   Machine artifact: https://www2.census.gov/library/working-papers/2002/demo/pop-twps0056/tabs15-65.xlsx
#
# DERIVATION: NUMBER block, first main decade row only (skip Sample / 15% / 5% subrows).
#   Not every state appears every decade (admission / coverage). Free/Slave columns only when
#   they reconstitute Black within ±5. State Black sums per decade equal the committed national
#   CSV exactly (validated by packages/firebase/scripts/derive-twps0056-state.py).
#
# Columns: stateFips,stateName,decade,totalPopulation,blackPopulation,blackFree,blackSlave
stateFips,stateName,decade,totalPopulation,blackPopulation,blackFree,blackSlave
26,Michigan,1890,2093890,15223,,
26,Michigan,1900,2420982,15816,,
26,Michigan,1910,2810173,17115,,
26,Michigan,1920,3668412,60082,,
26,Michigan,1930,4842325,169453,,
26,Michigan,1940,5256106,208345,,
26,Michigan,1950,6371766,442296,,
26,Michigan,1960,7823194,717581,,
26,Michigan,1970,8875083,991066,,
26,Michigan,1980,9262078,1199023,,
26,Michigan,1990,9295297,1291706,,
27,Minnesota,1850,6077,39,,
27,Minnesota,1860,172023,259,,
27,Minnesota,1870,439706,759,,
27,Minnesota,1880,780773,1564,,
27,Minnesota,1890,1310283,3683,,
27,Minnesota,1900,1751394,4959,,
27,Minnesota,1910,2075708,7084,,
27,Minnesota,1920,2387125,8809,,
27,Minnesota,1930,2563953,9445,,
27,Minnesota,1940,2792300,9928,,
27,Minnesota,1950,2982483,14022,,
27,Minnesota,1960,3413864,22263,,
27,Minnesota,1970,3804971,34868,,
27,Minnesota,1980,4075970,53344,,
27,Minnesota,1990,4375099,94944,,
28,Mississippi,1800,7600,3154,159,2995
28,Mississippi,1810,31306,14704,181,14523
28,Mississippi,1820,75448,33272,458,32814
28,Mississippi,1830,136621,66178,519,65659
28,Mississippi,1840,375651,196577,1366,195211
28,Mississippi,1850,606526,310808,930,309878
28,Mississippi,1860,791305,437404,773,436631
28,Mississippi,1870,827922,444201,,
28,Mississippi,1880,1131597,650291,,
28,Mississippi,1890,1289600,742559,,
28,Mississippi,1900,1551270,907630,,
28,Mississippi,1910,1797114,1009487,,
28,Mississippi,1920,1790618,935184,,
28,Mississippi,1930,2009821,1009718,,
28,Mississippi,1940,2183796,1074578,,
28,Mississippi,1950,2178914,986494,,
28,Mississippi,1960,2178141,915743,,
28,Mississippi,1970,2216912,815770,,
28,Mississippi,1980,2520638,887206,,
28,Mississippi,1990,2573216,915057,,
29,Missouri,1810,19783,3480,605,2875
29,Missouri,1820,66586,10569,347,10222
29,Missouri,1830,140455,25660,569,25091
29,Missouri,1840,383702,59814,1574,58240
29,Missouri,1850,682044,90040,2618,87422
29,Missouri,1860,1182012,118503,3572,114931
29,Missouri,1870,1721295,118071,,
29,Missouri,1880,2168380,145350,,
29,Missouri,1890,2679185,150184,,
29,Missouri,1900,3106665,161234,,
29,Missouri,1910,3293335,157452,,
29,Missouri,1920,3404055,178241,,
29,Missouri,1930,3629367,223840,,
29,Missouri,1940,3784664,244386,,
29,Missouri,1950,3954653,297088,,
29,Missouri,1960,4319813,390853,,
29,Missouri,1970,4676501,480172,,
29,Missouri,1980,4916686,514276,,
29,Missouri,1990,5117073,548208,,
30,Montana,1870,20595,183,,
30,Montana,1880,39159,346,,
30,Montana,1890,142924,1490,,
30,Montana,1900,243329,1523,,
30,Montana,1910,376053,1834,,
30,Montana,1920,548889,1658,,
30,Montana,1930,537606,1256,,
30,Montana,1940,559456,1120,,
30,Montana,1950,591024,1232,,
30,Montana,1960,674767,1467,,
30,Montana,1970,694409,1995,,
30,Montana,1980,786690,1786,,
30,Montana,1990,799065,2381,,
31,Nebraska,1860,28841,82,67,15
31,Nebraska,1870,122993,789,,
31,Nebraska,1880,452402,2385,,
31,Nebraska,1890,1062656,8913,,
31,Nebraska,1900,1066300,6269,,
31,Nebraska,1910,1192214,7689,,
31,Nebraska,1920,1296372,13242,,
31,Nebraska,1930,1377963,13752,,
31,Nebraska,1940,1315834,14171,,
31,Nebraska,1950,1325510,19234,,
31,Nebraska,1960,1411330,29262,,
31,Nebraska,1970,1483493,39911,,
31,Nebraska,1980,1569825,48390,,
31,Nebraska,1990,1578385,57404,,
32,Nevada,1860,6857,45,,
32,Nevada,1870,42941,357,,
32,Nevada,1880,62266,488,,
32,Nevada,1890,47355,242,,
32,Nevada,1900,42335,134,,
32,Nevada,1910,81875,513,,
32,Nevada,1920,77407,346,,
32,Nevada,1930,91058,516,,
32,Nevada,1940,110247,664,,
32,Nevada,1950,160083,4302,,
32,Nevada,1960,285278,13484,,
32,Nevada,1970,488738,27762,,
32,Nevada,1980,800493,50999,,
32,Nevada,1990,1201833,78771,,
33,New Hampshire,1790,141885,788,630,158
33,New Hampshire,1800,183858,860,,
33,New Hampshire,1810,214460,970,,
33,New Hampshire,1820,244161,786,,
33,New Hampshire,1830,269328,607,604,3
33,New Hampshire,1840,284574,538,537,1
33,New Hampshire,1850,317976,520,,
33,New Hampshire,1860,326073,494,,
33,New Hampshire,1870,318300,580,,
33,New Hampshire,1880,346991,685,,
33,New Hampshire,1890,376530,614,,
33,New Hampshire,1900,411588,662,,
33,New Hampshire,1910,430572,564,,
33,New Hampshire,1920,443083,621,,
33,New Hampshire,1930,465293,790,,
33,New Hampshire,1940,491524,414,,
33,New Hampshire,1950,533242,731,,
33,New Hampshire,1960,606921,1903,,
33,New Hampshire,1970,737681,2505,,
33,New Hampshire,1980,920610,3990,,
33,New Hampshire,1990,1109252,7198,,
34,New Jersey,1790,184139,14185,2762,11423
34,New Jersey,1800,211149,16824,4402,12422
34,New Jersey,1810,245562,18694,7843,10851
34,New Jersey,1820,277575,20017,12460,7557
34,New Jersey,1830,320823,20557,18303,2254
34,New Jersey,1840,373306,21718,21044,674
34,New Jersey,1850,489555,24046,23810,236
34,New Jersey,1860,672035,25336,25318,18
34,New Jersey,1870,906096,30658,,
34,New Jersey,1880,1131116,38853,,
34,New Jersey,1890,1444933,47638,,
34,New Jersey,1900,1883669,69844,,
34,New Jersey,1910,2537167,89760,,
34,New Jersey,1920,3155900,117132,,
34,New Jersey,1930,4041334,208828,,
34,New Jersey,1940,4160165,226973,,
34,New Jersey,1950,4835329,318565,,
34,New Jersey,1960,6066782,514875,,
34,New Jersey,1970,7168164,770292,,
34,New Jersey,1980,7364823,925066,,
34,New Jersey,1990,7730188,1036825,,
35,New Mexico,1850,61547,22,,
35,New Mexico,1860,87034,64,,
35,New Mexico,1870,91874,172,,
35,New Mexico,1880,119565,1015,,
35,New Mexico,1890,160282,1956,,
35,New Mexico,1900,195310,1610,,
35,New Mexico,1910,327301,1628,,
